IDTransacción;ClaveFecha;IDCliente;IDProducto;IDTienda;Cantidad;Descuento;MetodoPago
T01146;9/09/2024;C049;P042;S005;4;0.1;Mobile Money
T01147;2/12/2023;C040;P041;S003;2;0.05;Cash
T01148;29/09/2024;C019;P002;S001;2;0.15;Mobile Money
T01149;20/07/2025;C035;P034;S001;2;0.15;Mobile Money
T01150;20/04/2024;C179;P029;S005;4;0.05;Mobile Money
T01151;1/11/2024;C131;P029;S004;5;0.15;Mobile Money
T01152;1/02/2024;C091;P009;S002;2;0.15;Cash
T01153;23/12/2023;C148;P046;S004;2;0.1;Mobile Money
T01154;25/12/2024;C140;P031;S005;3;0;Cash
T01155;15/05/2025;C146;P045;S004;3;0;Mobile Money
T01156;28/01/2024;C177;P038;S001;2;0.1;Mobile Money
T01157;13/10/2024;C133;P034;S001;5;0;Credit Card
T01158;26/05/2025;C121;P031;S001;5;0.1;Cash
T01159;7/11/2024;C088;P011;S005;1;0.15;Mobile Money
T01160;26/01/2025;C132;P045;S004;5;0.1;Mobile Money
T01161;24/08/2025;C091;P009;S003;3;0.05;Cash
T01162;2/10/2024;C178;P041;S005;3;0.1;Cash
T01163;7/10/2023;C162;P033;S004;5;0.05;Cash
T01164;27/12/2023;C169;P033;S003;5;0;Bank Transfer
T01165;7/03/2025;C125;P023;S001;2;0;Bank Transfer
T01166;27/03/2025;C065;P003;S002;5;0.1;Bank Transfer
T01167;3/07/2025;C066;P002;S001;1;0.05;Credit Card
T01168;23/12/2023;C169;P042;S004;3;0.05;Bank Transfer
T01169;13/01/2025;C180;P016;S002;4;0.05;Cash
T01170;2/05/2025;C088;P050;S001;2;0.05;Mobile Money
T01171;5/09/2024;C193;P004;S004;4;0.05;Mobile Money
T01172;22/06/2025;C186;P045;S002;2;0.1;Cash
T01173;29/05/2025;C165;P031;S003;1;0;Credit Card
T01174;14/04/2024;C119;P041;S004;4;0.1;Mobile Money
T01175;2/10/2024;C192;P034;S005;2;0.15;Mobile Money
T01176;15/08/2025;C122;P036;S003;2;0.15;Cash
T01177;21/10/2023;C074;P021;S004;4;0.1;Cash
T01178;17/04/2024;C025;P011;S005;3;0.15;Bank Transfer
T01179;12/01/2025;C086;P026;S003;3;0;Bank Transfer
T01180;23/11/2023;C168;P028;S005;4;0.15;Credit Card
T01181;17/12/2023;C188;P001;S005;2;0.1;Credit Card
T01182;10/07/2025;C081;P026;S005;1;0;Cash
T01183;18/05/2025;C004;P050;S004;1;0;Mobile Money
T01184;9/02/2024;C090;P015;S002;3;0.1;Credit Card
T01185;29/11/2024;C009;P035;S001;5;0;Cash
T01186;22/12/2024;C153;P037;S002;5;0;Cash
T01187;16/12/2024;C023;P008;S005;2;0.15;Credit Card
T01188;5/03/2025;C029;P024;S002;3;0.1;Mobile Money
T01189;18/02/2025;C170;P035;S001;4;0.1;Mobile Money
T01190;31/08/2025;C178;P017;S003;3;0.05;Cash
T01191;31/03/2024;C071;P023;S001;4;0.15;Bank Transfer
T01192;14/12/2023;C016;P016;S003;3;0.05;Mobile Money
T01193;7/08/2024;C018;P010;S004;2;0.15;Credit Card
T01194;13/07/2024;C166;P025;S004;1;0.05;Mobile Money
T01195;26/08/2025;C056;P032;S005;1;0.15;Bank Transfer
T01196;11/03/2025;C027;P031;S001;1;0;Bank Transfer
T01197;26/02/2024;C199;P019;S004;1;0.15;Credit Card
T01198;11/07/2025;C168;P037;S001;1;0.15;Bank Transfer
T01199;6/09/2025;C039;P018;S003;4;0;Mobile Money
T01200;18/11/2023;C123;P007;S004;4;0;Credit Card
T01201;11/12/2023;C001;P048;S004;4;0;Bank Transfer
T01202;7/02/2025;C086;P046;S003;4;0;Cash
T01203;9/01/2025;C094;P042;S005;3;0;Mobile Money
T01204;16/01/2024;C195;P018;S003;2;0.05;Cash
T01205;2/09/2025;C099;P004;S002;3;0.15;Cash
T01206;12/06/2024;C162;P047;S003;4;0;Mobile Money
T01207;4/02/2024;C189;P016;S002;2;0;Credit Card
T01208;4/05/2025;C007;P009;S005;2;0.15;Mobile Money
T01209;21/06/2025;C017;P032;S005;3;0.15;Mobile Money
T01210;3/02/2024;C005;P028;S001;3;0;Bank Transfer
T01211;22/12/2024;C185;P029;S001;4;0;Credit Card
T01212;25/11/2024;C168;P020;S005;4;0.05;Credit Card
T01213;5/12/2023;C019;P023;S001;2;0.15;Cash
T01214;4/12/2024;C121;P015;S005;1;0.05;Credit Card
T01215;17/04/2025;C004;P045;S002;1;0.1;Cash
T01216;6/09/2025;C117;P046;S005;2;0;Cash
T01217;16/12/2024;C030;P021;S004;5;0.05;Cash
T01218;21/05/2025;C052;P001;S004;3;0.15;Bank Transfer
T01219;15/07/2025;C031;P034;S005;5;0.05;Bank Transfer
T01220;16/10/2024;C055;P048;S001;5;0.05;Bank Transfer
T01221;5/05/2025;C017;P041;S001;3;0.05;Mobile Money
T01222;31/07/2025;C044;P046;S003;5;0.05;Mobile Money
T01223;30/06/2024;C063;P029;S005;1;0.05;Cash
T01224;26/01/2024;C162;P002;S005;4;0.05;Cash
T01225;7/04/2024;C125;P006;S001;1;0;Credit Card
T01226;15/10/2023;C023;P029;S005;3;0.15;Mobile Money
T01227;19/01/2024;C178;P023;S002;2;0.05;Bank Transfer
T01228;16/06/2024;C134;P029;S004;4;0.05;Credit Card
T01229;11/10/2023;C157;P004;S001;5;0.05;Mobile Money
T01230;25/06/2024;C157;P031;S001;3;0.1;Mobile Money
T01231;23/05/2024;C002;P037;S005;2;0.05;Cash
T01232;27/07/2025;C136;P038;S001;5;0.1;Credit Card
T01233;3/02/2025;C119;P013;S002;3;0;Credit Card
T01234;21/02/2024;C029;P015;S002;4;0.15;Credit Card
T01235;13/05/2024;C041;P029;S001;1;0.1;Bank Transfer
T01236;2/07/2024;C054;P004;S004;3;0.1;Mobile Money
T01237;17/07/2024;C012;P023;S001;1;0.05;Credit Card
T01238;28/01/2025;C008;P014;S004;5;0;Cash
T01239;30/11/2024;C061;P021;S004;5;0.1;Mobile Money
T01240;13/10/2024;C051;P039;S003;2;0;Bank Transfer
T01241;27/10/2023;C059;P050;S001;2;0.15;Credit Card
T01242;8/11/2023;C097;P009;S002;1;0.15;Mobile Money
T01243;22/09/2023;C014;P043;S004;2;0.05;Mobile Money
T01244;14/08/2024;C046;P043;S004;3;0.05;Mobile Money
T01245;14/02/2024;C185;P044;S002;3;0.1;Credit Card
T01246;21/10/2024;C086;P028;S002;1;0;Bank Transfer
T01247;21/02/2025;C035;P015;S001;4;0.15;Mobile Money
T01248;3/10/2024;C044;P013;S003;2;0.1;Credit Card
T01249;27/08/2024;C164;P050;S005;2;0.05;Cash
T01250;11/05/2025;C106;P029;S005;4;0.05;Mobile Money
T01251;3/02/2024;C119;P026;S003;1;0.15;Credit Card
T01252;23/02/2025;C064;P041;S003;4;0.05;Credit Card
T01253;24/03/2024;C147;P017;S001;4;0;Cash
T01254;4/05/2025;C121;P050;S005;1;0.15;Mobile Money
T01255;17/04/2025;C123;P043;S001;4;0.15;Credit Card
T01256;28/12/2024;C022;P026;S005;1;0.15;Credit Card
T01257;9/05/2025;C034;P020;S003;3;0.05;Cash
T01258;22/07/2025;C005;P012;S004;3;0.05;Mobile Money
T01259;15/03/2024;C147;P045;S005;1;0.15;Mobile Money
T01260;22/08/2024;C198;P031;S002;4;0.05;Bank Transfer
T01261;12/11/2023;C161;P011;S004;1;0;Mobile Money
T01262;10/05/2024;C177;P030;S003;5;0;Bank Transfer
T01263;6/05/2025;C110;P033;S003;5;0.05;Cash
T01264;17/02/2024;C159;P007;S003;1;0.1;Cash
T01265;28/06/2024;C029;P013;S004;3;0.15;Cash
T01266;27/05/2024;C094;P046;S003;2;0;Credit Card
T01267;1/11/2024;C036;P020;S003;2;0;Mobile Money
T01268;29/07/2025;C189;P027;S005;2;0.05;Bank Transfer
T01269;21/04/2025;C091;P050;S003;5;0.15;Bank Transfer
T01270;3/12/2024;C014;P010;S001;3;0.1;Mobile Money
T01271;27/03/2024;C125;P023;S005;5;0;Mobile Money
T01272;4/04/2024;C182;P016;S005;5;0.1;Mobile Money
T01273;3/12/2023;C159;P027;S003;1;0.05;Mobile Money
T01274;4/09/2024;C023;P032;S001;4;0.05;Bank Transfer
T01275;8/01/2024;C020;P016;S001;2;0.1;Cash
T01276;16/03/2025;C179;P023;S002;4;0.05;Credit Card
T01277;19/09/2024;C134;P041;S001;3;0.15;Credit Card
T01278;4/10/2023;C122;P023;S003;4;0.15;Cash
T01279;24/06/2024;C075;P041;S002;1;0;Credit Card
T01280;12/02/2024;C134;P014;S003;4;0.1;Bank Transfer
T01281;20/06/2025;C125;P014;S005;5;0.15;Mobile Money
T01282;29/08/2025;C078;P038;S005;2;0.1;Credit Card
T01283;14/12/2023;C067;P001;S002;4;0.1;Bank Transfer
T01284;27/06/2024;C198;P042;S001;2;0.1;Bank Transfer
T01285;29/08/2024;C117;P020;S002;5;0.05;Bank Transfer
T01286;17/02/2024;C047;P019;S002;2;0.05;Credit Card
T01287;24/08/2025;C030;P014;S001;3;0.05;Mobile Money
T01288;14/10/2023;C067;P001;S003;2;0.05;Cash
T01289;5/09/2024;C171;P041;S003;3;0.05;Bank Transfer
T01290;9/08/2024;C115;P022;S005;2;0.1;Cash
T01291;5/09/2025;C007;P032;S004;4;0.05;Mobile Money
T01292;1/12/2024;C082;P036;S002;1;0.1;Bank Transfer
T01293;6/04/2025;C122;P010;S003;5;0.05;Mobile Money
T01294;18/07/2025;C087;P028;S001;4;0;Credit Card
T01295;4/01/2024;C174;P025;S005;1;0.1;Cash
T01296;6/12/2024;C103;P007;S005;2;0.15;Bank Transfer
T01297;10/04/2025;C024;P047;S003;1;0.05;Credit Card
T01298;27/06/2025;C197;P037;S003;2;0;Cash
T01299;6/12/2023;C138;P031;S004;1;0.15;Credit Card
T01300;31/12/2023;C126;P003;S003;5;0;Bank Transfer
T01301;28/04/2025;C102;P022;S002;4;0.1;Mobile Money
T01302;19/10/2024;C096;P012;S001;3;0.1;Bank Transfer
T01303;18/07/2024;C079;P003;S004;5;0;Credit Card
T01304;30/04/2025;C187;P041;S004;4;0.15;Bank Transfer
T01305;14/05/2025;C042;P002;S004;4;0.05;Cash
T01306;21/08/2025;C037;P042;S002;3;0.15;Bank Transfer
T01307;22/12/2024;C017;P026;S005;4;0;Cash
T01308;29/02/2024;C105;P030;S003;4;0.05;Mobile Money
T01309;20/11/2024;C182;P027;S005;2;0.05;Credit Card
T01310;10/11/2023;C098;P017;S003;5;0.15;Cash
T01311;29/03/2025;C078;P042;S005;3;0.15;Mobile Money
T01312;18/06/2025;C058;P032;S001;1;0.05;Bank Transfer
T01313;26/07/2025;C077;P009;S004;1;0.1;Mobile Money
T01314;2/05/2025;C046;P012;S004;2;0;Cash
T01315;21/01/2025;C196;P022;S003;4;0;Bank Transfer
T01316;20/11/2023;C149;P049;S004;5;0.15;Bank Transfer
T01317;11/05/2024;C161;P001;S004;1;0.1;Cash
T01318;22/01/2024;C067;P047;S002;5;0;Credit Card
T01319;28/05/2024;C082;P004;S004;2;0.1;Credit Card
T01320;16/12/2024;C014;P049;S003;3;0.15;Bank Transfer
T01321;8/07/2024;C013;P002;S003;3;0;Credit Card
T01322;14/09/2024;C197;P021;S002;1;0.05;Bank Transfer
T01323;2/08/2025;C081;P019;S003;3;0.1;Cash
T01324;20/04/2024;C137;P043;S005;3;0.05;Cash
T01325;24/01/2025;C036;P042;S005;3;0.1;Mobile Money
T01326;28/12/2023;C106;P019;S003;2;0;Credit Card
T01327;2/04/2025;C040;P031;S005;2;0.05;Cash
T01328;14/05/2025;C107;P011;S004;1;0;Credit Card
T01329;25/05/2024;C005;P014;S004;3;0.1;Bank Transfer
T01330;10/06/2024;C036;P033;S004;5;0.1;Credit Card
T01331;15/09/2024;C182;P044;S003;1;0;Credit Card
T01332;17/04/2025;C033;P029;S002;2;0.1;Credit Card
T01333;31/07/2024;C054;P044;S002;1;0.15;Cash
T01334;15/11/2024;C020;P018;S001;4;0.15;Cash
T01335;5/07/2024;C051;P001;S001;1;0;Mobile Money
T01336;22/08/2025;C031;P011;S003;1;0;Bank Transfer
T01337;20/09/2023;C171;P045;S001;1;0;Credit Card
T01338;22/08/2024;C151;P045;S002;2;0.1;Cash
T01339;7/03/2024;C024;P006;S002;3;0.1;Bank Transfer
T01340;24/01/2025;C042;P001;S005;5;0.05;Cash
T01341;22/03/2025;C026;P017;S005;1;0.05;Credit Card
T01342;7/04/2025;C073;P004;S002;5;0;Cash
T01343;4/01/2025;C055;P032;S005;4;0.1;Credit Card
T01344;25/11/2023;C113;P027;S001;2;0.1;Mobile Money
T01345;26/08/2025;C109;P005;S002;5;0.05;Mobile Money
T01346;24/01/2024;C029;P004;S003;1;0.15;Cash
T01347;9/02/2024;C134;P013;S002;4;0.1;Bank Transfer
T01348;31/08/2024;C143;P025;S001;1;0.1;Mobile Money
T01349;15/11/2024;C030;P036;S004;3;0.15;Bank Transfer
T01350;6/11/2023;C176;P013;S004;2;0.15;Bank Transfer
T01351;13/10/2023;C110;P050;S002;1;0.15;Bank Transfer
T01352;22/12/2024;C046;P030;S001;4;0;Mobile Money
T01353;17/04/2024;C113;P050;S005;1;0;Credit Card
T01354;28/10/2023;C102;P003;S004;5;0;Credit Card
T01355;22/12/2023;C017;P006;S003;2;0.1;Credit Card
T01356;5/06/2025;C153;P018;S004;1;0.05;Mobile Money
T01357;26/07/2025;C186;P050;S004;3;0.1;Mobile Money
T01358;29/06/2024;C092;P046;S004;5;0.15;Mobile Money
T01359;14/08/2025;C131;P023;S003;2;0.15;Cash
T01360;6/06/2025;C032;P044;S003;4;0.15;Credit Card
T01361;9/11/2023;C161;P050;S002;1;0;Cash
T01362;13/02/2024;C018;P019;S004;1;0.05;Mobile Money
T01363;24/04/2024;C155;P015;S003;2;0.1;Cash
T01364;6/07/2025;C195;P008;S001;5;0.15;Mobile Money
T01365;2/09/2024;C052;P006;S003;4;0.15;Bank Transfer
T01366;8/06/2024;C139;P050;S003;5;0;Cash
T01367;29/03/2024;C111;P048;S001;4;0.15;Bank Transfer
T01368;3/06/2024;C097;P004;S004;4;0;Cash
T01369;2/01/2025;C046;P042;S005;3;0.05;Mobile Money
T01370;24/04/2024;C111;P010;S002;3;0.15;Mobile Money
T01371;19/10/2023;C196;P019;S001;5;0.15;Mobile Money
T01372;30/08/2025;C122;P005;S005;2;0;Mobile Money
T01373;1/04/2024;C068;P040;S004;5;0.15;Bank Transfer
T01374;26/05/2024;C197;P021;S003;3;0;Cash
T01375;19/11/2023;C152;P042;S001;2;0.1;Bank Transfer
T01376;5/06/2024;C190;P050;S005;1;0.1;Mobile Money
T01377;9/01/2025;C025;P040;S004;3;0.1;Mobile Money
T01378;26/04/2024;C090;P049;S001;2;0.05;Credit Card
T01379;30/01/2024;C166;P003;S003;5;0;Cash
T01380;5/02/2024;C079;P020;S001;3;0.05;Cash
T01381;17/10/2023;C138;P042;S003;1;0.15;Mobile Money
T01382;28/05/2024;C146;P025;S005;4;0.1;Cash
T01383;1/11/2024;C179;P021;S004;5;0;Bank Transfer
T01384;28/07/2025;C097;P036;S005;4;0.1;Cash
T01385;15/02/2024;C126;P037;S001;2;0.1;Mobile Money
T01386;28/01/2024;C129;P017;S003;2;0.1;Bank Transfer
T01387;9/03/2024;C112;P040;S002;4;0;Credit Card
T01388;8/05/2025;C074;P045;S003;1;0.1;Mobile Money
T01389;18/03/2025;C058;P016;S005;1;0;Bank Transfer
T01390;14/04/2024;C070;P026;S001;5;0.15;Mobile Money
T01391;10/12/2023;C054;P007;S003;1;0.1;Bank Transfer
T01392;23/05/2025;C111;P008;S005;3;0.05;Mobile Money
T01393;24/11/2024;C103;P031;S003;5;0.15;Credit Card
T01394;18/09/2024;C005;P050;S005;2;0.15;Credit Card
T01395;8/04/2025;C170;P016;S004;3;0.15;Cash
T01396;31/03/2025;C134;P017;S002;3;0.15;Credit Card
T01397;9/04/2024;C062;P028;S002;3;0.15;Mobile Money
T01398;28/01/2025;C082;P020;S001;2;0.15;Bank Transfer
T01399;23/06/2025;C074;P003;S002;3;0.05;Mobile Money
T01400;19/04/2025;C062;P024;S001;2;0.05;Cash
T01401;21/07/2025;C063;P013;S003;4;0.15;Mobile Money
T01402;31/03/2024;C109;P018;S001;2;0.05;Bank Transfer
T01403;2/12/2023;C035;P026;S001;3;0.1;Credit Card
T01404;4/08/2024;C165;P031;S001;4;0;Cash
T01405;17/02/2025;C022;P048;S003;5;0.1;Cash
T01406;27/08/2024;C105;P036;S003;1;0.15;Credit Card
T01407;9/10/2024;C061;P019;S001;5;0;Bank Transfer
T01408;25/09/2024;C128;P029;S001;2;0;Bank Transfer
T01409;25/08/2025;C085;P001;S005;4;0.05;Mobile Money
T01410;21/05/2025;C056;P026;S002;1;0.05;Credit Card
T01411;8/02/2024;C071;P008;S004;4;0.1;Cash
T01412;18/12/2023;C126;P043;S005;3;0;Bank Transfer
T01413;6/06/2024;C140;P005;S004;4;0.05;Bank Transfer
T01414;12/08/2024;C038;P050;S003;4;0.1;Bank Transfer
T01415;21/04/2024;C006;P050;S005;1;0;Credit Card
T01416;3/03/2025;C065;P026;S005;4;0.1;Bank Transfer
T01417;27/05/2025;C176;P050;S001;5;0.05;Mobile Money
T01418;13/05/2024;C100;P005;S001;4;0.1;Bank Transfer
T01419;24/09/2024;C024;P034;S002;3;0.05;Credit Card
T01420;28/03/2024;C113;P026;S003;4;0;Bank Transfer
T01421;1/07/2024;C021;P002;S004;4;0.15;Bank Transfer
T01422;10/09/2023;C184;P016;S004;1;0.05;Bank Transfer
T01423;11/05/2025;C130;P039;S001;3;0.15;Bank Transfer
T01424;5/06/2024;C117;P038;S001;1;0.05;Mobile Money
T01425;8/04/2024;C165;P031;S002;1;0.15;Credit Card
T01426;6/11/2023;C161;P023;S003;3;0;Cash
T01427;5/04/2025;C041;P023;S002;5;0.05;Mobile Money
T01428;7/03/2024;C082;P039;S004;4;0.05;Bank Transfer
T01429;17/05/2024;C045;P030;S005;3;0.1;Credit Card
T01430;18/07/2024;C022;P010;S004;3;0.05;Mobile Money
T01431;25/12/2024;C097;P040;S005;2;0;Cash
T01432;29/11/2023;C143;P020;S005;2;0;Mobile Money
T01433;10/07/2024;C051;P044;S003;2;0;Mobile Money
T01434;21/02/2024;C159;P048;S004;5;0.1;Credit Card
T01435;31/03/2025;C023;P003;S003;2;0;Cash
T01436;16/05/2025;C184;P043;S005;4;0.15;Mobile Money
T01437;2/04/2024;C031;P041;S002;2;0.05;Bank Transfer
T01438;6/02/2025;C074;P029;S004;4;0.05;Mobile Money
T01439;28/09/2023;C053;P017;S005;2;0.1;Credit Card
T01440;13/11/2024;C108;P015;S002;4;0.05;Cash
T01441;1/04/2025;C075;P036;S003;2;0.15;Credit Card
T01442;18/01/2024;C095;P015;S005;4;0;Cash
T01443;28/07/2025;C121;P020;S002;3;0.15;Credit Card
T01444;20/08/2024;C183;P041;S004;4;0.1;Cash
T01445;20/07/2024;C025;P019;S005;1;0;Bank Transfer
T01446;15/04/2025;C061;P022;S004;3;0;Cash
T01447;8/02/2024;C065;P011;S005;5;0.15;Bank Transfer
T01448;31/07/2024;C102;P003;S003;2;0;Credit Card
T01449;3/10/2024;C067;P006;S002;5;0.15;Bank Transfer
T01450;25/11/2024;C120;P035;S002;1;0.1;Mobile Money
T01451;19/10/2023;C037;P031;S003;1;0.1;Cash
T01452;21/11/2023;C033;P019;S004;3;0.1;Mobile Money
T01453;21/09/2023;C073;P030;S003;5;0.1;Bank Transfer
T01454;19/01/2025;C112;P016;S002;3;0.15;Credit Card
T01455;24/07/2025;C143;P020;S004;1;0.05;Credit Card
T01456;9/01/2024;C014;P017;S002;2;0;Mobile Money
T01457;27/09/2024;C067;P048;S002;4;0.15;Cash
T01458;5/12/2024;C127;P033;S001;4;0.1;Mobile Money
T01459;11/04/2025;C118;P019;S004;1;0.05;Cash
T01460;7/02/2024;C090;P031;S001;2;0.1;Credit Card
T01461;28/05/2025;C044;P045;S005;3;0.05;Cash
T01462;20/03/2025;C135;P033;S005;2;0.15;Cash
T01463;10/02/2024;C064;P012;S004;1;0.1;Cash
T01464;3/05/2025;C073;P035;S001;4;0.1;Cash
T01465;11/06/2025;C083;P049;S002;1;0;Mobile Money
T01466;10/03/2024;C182;P038;S004;4;0.1;Cash
T01467;19/03/2025;C085;P035;S001;5;0.15;Bank Transfer
T01468;17/01/2024;C188;P006;S005;2;0.05;Cash
T01469;17/07/2024;C165;P029;S003;3;0;Cash
T01470;9/05/2025;C141;P028;S005;4;0;Mobile Money
T01471;29/12/2024;C066;P031;S002;2;0.15;Cash
T01472;9/03/2025;C006;P003;S002;2;0.15;Mobile Money
T01473;8/05/2024;C073;P011;S002;1;0.1;Mobile Money
T01474;18/12/2024;C111;P016;S003;5;0.05;Bank Transfer
T01475;30/05/2024;C171;P021;S001;3;0.05;Mobile Money
T01476;9/12/2024;C115;P008;S004;4;0.1;Mobile Money
T01477;20/10/2024;C024;P042;S004;3;0.05;Mobile Money
T01478;5/04/2024;C162;P049;S004;1;0;Bank Transfer
T01479;24/03/2025;C119;P022;S002;2;0.15;Cash
T01480;23/06/2025;C075;P005;S004;4;0;Mobile Money
T01481;11/10/2024;C077;P010;S002;2;0.1;Credit Card
T01482;15/07/2025;C134;P044;S004;3;0;Cash
T01483;9/04/2024;C012;P008;S005;1;0.15;Mobile Money
T01484;7/06/2024;C025;P034;S004;5;0.1;Bank Transfer
T01485;4/11/2024;C066;P042;S005;1;0;Cash
T01486;5/10/2023;C190;P041;S004;2;0.05;Mobile Money
T01487;14/04/2025;C012;P004;S001;4;0.1;Bank Transfer
T01488;10/07/2024;C151;P037;S004;4;0.1;Bank Transfer
T01489;4/12/2023;C048;P006;S002;2;0;Bank Transfer
T01490;9/11/2023;C173;P010;S001;4;0;Cash
T01491;19/11/2024;C102;P036;S001;1;0.05;Mobile Money
T01492;23/07/2024;C118;P048;S004;5;0.15;Bank Transfer
T01493;9/12/2024;C159;P009;S005;3;0.15;Bank Transfer
T01494;25/05/2024;C023;P049;S002;2;0;Credit Card
T01495;24/11/2023;C029;P021;S001;2;0;Credit Card
T01496;30/07/2025;C124;P027;S002;2;0.15;Credit Card
T01497;25/10/2024;C023;P046;S003;4;0.05;Mobile Money
T01498;3/11/2024;C109;P030;S001;1;0.05;Credit Card
T01499;19/06/2024;C190;P007;S004;4;0.15;Cash
T01500;25/03/2025;C116;P046;S005;2;0.05;Bank Transfer
T01501;29/11/2023;C146;P018;S004;1;0.1;Cash
T01502;29/01/2024;C027;P036;S004;4;0.15;Bank Transfer
T01503;7/03/2024;C010;P031;S004;4;0.15;Mobile Money
T01504;13/01/2025;C060;P022;S001;5;0;Mobile Money
T01505;27/05/2024;C148;P010;S003;5;0;Bank Transfer
T01506;21/03/2025;C166;P044;S004;4;0;Mobile Money
T01507;10/04/2024;C160;P044;S003;4;0.15;Cash
T01508;22/07/2024;C042;P032;S003;2;0.15;Bank Transfer
T01509;19/04/2024;C113;P045;S002;5;0.05;Bank Transfer
T01510;2/08/2025;C155;P023;S004;2;0.1;Mobile Money
T01511;8/07/2024;C107;P005;S003;4;0.05;Credit Card
T01512;20/02/2024;C073;P030;S001;4;0.05;Credit Card
T01513;23/05/2025;C052;P015;S002;5;0.15;Cash
T01514;24/01/2024;C107;P040;S004;3;0.05;Credit Card
T01515;8/06/2025;C143;P043;S001;1;0.1;Bank Transfer
T01516;30/04/2025;C092;P005;S002;2;0;Cash
T01517;16/10/2023;C087;P016;S004;1;0.05;Cash
T01518;31/12/2023;C144;P007;S002;4;0.1;Bank Transfer
T01519;27/11/2023;C091;P003;S001;5;0.1;Credit Card
T01520;11/12/2023;C177;P027;S005;5;0;Cash
T01521;17/12/2024;C113;P018;S004;1;0;Cash
T01522;21/06/2025;C144;P011;S001;5;0;Credit Card
T01523;27/10/2024;C162;P031;S001;2;0.1;Credit Card
T01524;24/01/2025;C187;P013;S003;4;0.15;Cash
T01525;25/06/2024;C040;P012;S003;3;0.05;Cash
T01526;5/07/2024;C052;P009;S004;4;0;Credit Card
T01527;5/09/2024;C122;P012;S003;3;0.05;Cash
T01528;29/01/2025;C069;P018;S003;4;0.1;Credit Card
T01529;28/04/2024;C039;P015;S005;4;0.05;Credit Card
T01530;14/11/2023;C110;P010;S004;4;0.15;Bank Transfer
T01531;18/03/2025;C008;P032;S004;2;0;Cash
T01532;12/10/2024;C022;P039;S003;3;0.15;Credit Card
T01533;22/09/2024;C112;P030;S001;4;0;Credit Card
T01534;31/12/2024;C148;P040;S001;5;0.1;Mobile Money
T01535;4/07/2025;C103;P042;S005;3;0.1;Bank Transfer
T01536;6/06/2025;C003;P045;S003;5;0.05;Mobile Money
T01537;30/04/2025;C115;P017;S002;5;0.15;Bank Transfer
T01538;2/12/2023;C167;P035;S004;2;0.1;Cash
T01539;8/03/2025;C010;P036;S005;3;0.15;Credit Card
T01540;20/09/2023;C134;P005;S005;3;0.05;Cash
T01541;11/10/2024;C131;P026;S005;3;0.1;Credit Card
T01542;19/05/2025;C006;P027;S001;5;0.1;Credit Card
T01543;9/02/2025;C199;P037;S003;4;0;Cash
T01544;1/12/2024;C096;P040;S003;5;0.1;Cash
T01545;30/09/2024;C013;P005;S001;4;0.1;Cash
T01546;19/03/2024;C117;P008;S003;2;0.05;Bank Transfer
T01547;1/03/2024;C077;P019;S003;5;0.05;Mobile Money
T01548;4/07/2024;C134;P036;S002;1;0.1;Credit Card
T01549;24/07/2025;C200;P038;S003;4;0;Credit Card
T01550;8/05/2025;C183;P007;S004;4;0;Cash
T01551;4/12/2024;C016;P038;S004;2;0.15;Credit Card
T01552;6/08/2024;C115;P007;S001;3;0.15;Mobile Money
T01553;11/04/2025;C068;P009;S005;4;0.15;Mobile Money
T01554;22/01/2025;C177;P031;S004;4;0.05;Credit Card
T01555;18/10/2023;C130;P030;S002;4;0.15;Credit Card
T01556;26/02/2025;C181;P041;S005;5;0;Credit Card
T01557;14/09/2024;C117;P003;S004;1;0.05;Bank Transfer
T01558;22/08/2024;C031;P042;S005;4;0;Cash
T01559;30/10/2024;C095;P007;S005;3;0;Credit Card
T01560;30/04/2025;C031;P037;S003;3;0.1;Bank Transfer
T01561;16/11/2023;C076;P016;S004;1;0.05;Credit Card
T01562;17/09/2024;C151;P041;S004;1;0.1;Bank Transfer
T01563;10/12/2023;C056;P029;S002;4;0;Cash
T01564;2/03/2025;C141;P030;S003;1;0;Mobile Money
T01565;13/10/2024;C124;P022;S005;3;0.15;Bank Transfer
T01566;26/02/2025;C097;P029;S004;5;0.05;Credit Card
T01567;26/11/2024;C130;P041;S004;4;0.15;Credit Card
T01568;2/02/2024;C187;P017;S003;1;0.15;Mobile Money
T01569;15/02/2024;C060;P039;S004;3;0;Mobile Money
T01570;19/07/2025;C189;P022;S003;1;0.05;Cash
T01571;16/02/2025;C147;P008;S003;5;0;Cash
T01572;12/11/2024;C050;P014;S005;5;0;Credit Card
T01573;7/01/2024;C193;P023;S004;5;0;Cash
T01574;14/09/2024;C169;P012;S005;2;0;Bank Transfer
T01575;23/06/2025;C053;P046;S002;5;0.15;Cash
T01576;1/11/2023;C137;P027;S005;3;0.15;Cash
T01577;17/01/2025;C126;P022;S001;3;0.15;Credit Card
T01578;11/09/2024;C107;P039;S001;5;0.1;Mobile Money
T01579;8/07/2024;C066;P022;S001;1;0;Credit Card
T01580;7/09/2025;C074;P003;S002;2;0.1;Cash
T01581;9/03/2025;C040;P014;S003;4;0.05;Cash
T01582;22/02/2025;C158;P048;S003;2;0;Cash
T01583;13/09/2024;C077;P017;S004;1;0.1;Credit Card
T01584;25/05/2025;C106;P033;S003;3;0.15;Cash
T01585;12/05/2025;C014;P028;S002;2;0.05;Mobile Money
